id,article_m,article_f,article_n,correct_form,noun_no_article,remark
1,der,die,das,das Thema,Thema,words that end in -MA are always NEUTER
2,der,die,das,das Häuschen,Häuschen,words that end in -CHEN are always NEUTER
3,der,die,das,das Dokument,Dokument,words that end in -MENT are always NEUTER
4,der,die,das,das Zentrum,Zentrum,words that end in -UM are always NEUTER
5,der,die,das,das Gesicht,Gesicht,words that end in -ICHT are always NEUTER
6,der,die,das,das Ergibnis,Ergibnis,words that end in -NIS are always NEUTER
7,der,die,das,das Niveau,Niveau,words that end in -EAU are always NEUTER
9,der,die,das,das Photo,Photo,words that end in -O are always NEUTER
10,der,die,das,das Essen,Essen,NOUNS that come from Verbs
11,der,die,das,das Ritz,Ritz,"Nouns that name hotels,cafés"
12,der,die,das,das Blau,Blau,Nouns that name colors
13,der,die,das,das A,A,Nouns that name letters
14,der,die,das,das Montag,Montag,Days of the weeks are always MASCULINE
15,der,die,das,das Juli,Juli,MONTHS are always MASCULINE
16,der,die,das,das Sommer,Sommer,SEASONS are always MASCULINE
17,der,die,das,der Euro,Euro,CURRENCY is always MASCULINE
18,der,die,das,der Wein,Wein,DRIKNS are always MASCULINE
19,der,die,das,der Mercedes,Mercedes,BRANDS OF CARS are always MASCULINE
20,der,die,das,der Süd,Süd,DIRECTIONS are always MASCULINE
21,der,die,das,der Rentner,Rentner,words in -NER are always MASCULINE
22,der,die,das,der Siedler,Siedler,words in -LER are always MASCULINE
23,der,die,das,der Kommunismus,Kommunismus,words in -ISMUS are always MASCULINE
24,der,die,das,der Motor,Motor,words in -OR are always MASCULINE
25,der,die,das,der Honig,Honig,words in -IG are always MASCULINE
26,der,die,das,der Teppich,Teppich,words in -ICH are always MASCULINE
27,der,die,das,der Zwilling,Zwilling,words in -ING are always MASCULINE
28,der,die,das,der Kapitalist,Kapitalist,words in -IST are always MASCULINE
29,der,die,das,der Informatiker,Informatiker,words in -IKER are always MASCULINE
30,der,die,das,der Diamant,Diamant,words in -ANT are always MASCULINE
31,der,die,das,der Friseur,Friseur,words in -EUR are always MASCULINE
32,der,die,das,der Koffer,Koffer,words in -ER are always MASCULINE
33,der,die,das,die Freiheit,Freiheit,heit
34,der,die,das,die Schnelligkeit,Schnelligkeit,keit
35,der,die,das,die Universität,Universität,tät
36,der,die,das,die Zeitung,Zeitung,ung
37,der,die,das,die Freundschaft,Freundschaft,schaft 
38,der,die,das,die Drogerie,Drogerie,ie
39,der,die,das,die Grammatik, Grammatik,ik 
40,der,die,das,die Kultur,Kultur,ur
41,der,die,das,das Wrack,Wrack,
42,der,die,das,das Benehmen,Benehmen,Word ends in EN and NEUTER
43,der,die,das,das Maß,Maß,
44,der,die,das,das Mehl,Mehl,
45,der,die,das,das Hirn,Hirn,
46,der,die,das,das Fach,Fach,
47,der,die,das,das Dach,Dach,
48,der,die,das,das Gebüsch,Gebüsch,
49,der,die,das,das Gesetz,Gesetz,
50,der,die,das,das Verfahren,Verfahren,
51,der,die,das,das Geschenk,Geschenk,
52,der,die,das,das Grab,Grab,
53,der,die,das,das Öl,Öl,
54,der,die,das,das Lokal,Lokal,
55,der,die,das,das Urteil,Urteil,
56,der,die,das,das Gewehr,Gewehr,
57,der,die,das,das Gleis,Gleis,
58,der,die,das,das Ziel,Ziel,
59,der,die,das,das Viertel,Viertel,
60,der,die,das,das Geschick,Geschick,
61,der,die,das,das Kinn,Kinn,
62,der,die,das,das Eis,Eis,
63,der,die,das,das Gelenk,Gelenk,
64,der,die,das,das Loch,Loch,
65,der,die,das,das Rad,Rad,
66,der,die,das,das Versteck,Versteck,
67,der,die,das,das Siegel,Siegel,
68,der,die,das,das Feld,Feld,
69,der,die,das,das Rätsel,Rätsel,
70,der,die,das,das Schicksal,Schicksal,
71,der,die,das,das Gegenteil,Gegenteil,
72,der,die,das,das Getränk,Getränk,
73,der,die,das,das Beil,Beil,
74,der,die,das,das Holz,Holz,
75,der,die,das,das Stück,Stück,
76,der,die,das,das Gefühl,Gefühl,
77,der,die,das,das Haus,Haus,
78,der,die,das,das Geld,Geld,
79,der,die,das,das Bild,Bild,
80,der,die,das,das Schild,Schild,
81,der,die,das,das Land,Land,
82,der,die,das,das Spiel,Spiel,
83,der,die,das,das Werk,Werk,
84,der,die,das,das Mittel,Mittel,
85,der,die,das,das Tuch,Tuch,
86,der,die,das,das Glied,Glied,
87,der,die,das,das Leid,Leid,
88,der,die,das,das Jahr,Jahr,
89,der,die,das,das Reich ,Reich ,
90,der,die,das,das Zeug,Zeug,
