id,preposition-gender,content,prep,pronoun,adj,noun,pronoun_form,adj_form,edit_field
1,mit-m,mit dem guten Freund,mit,dem,guten,Freund,der,gut,edit_me
2,mit-m,mit einem guten Freund,mit,einem,guten,Freund,ein,gut,edit_me
3,mit-m,mit keinem guten Freund,mit,keinem,guten,Freund,kein,gut,edit_me
4,mit-m,mit meinem guten Freund ,mit,meinem,guten,Freund,mein,gut,edit_me
5,mit-m,mit deinem guten Freund ,mit,deinem,guten,Freund,dein,gut,edit_me
6,mit-m,mit seinem guten Freund ,mit,seinem,guten,Freund,sein,gut,edit_me
7,mit-m,mit ihrem guten Freund ,mit,ihrem,guten,Freund,ihr,gut,edit_me
8,mit-m,mit unserem guten Freund ,mit,unserem,guten,Freund,unser,gut,edit_me
9,mit-m,mit eurem guten Freund ,mit,eurem,guten,Freund,euer,gut,edit_me
10,mit-m,mit ihrem guten Freund,mit,ihrem,guten,Freund,ihr,gut,edit_me
11,mit-m,mit diesem guten Freund,mit,diesem,guten,Freund,dies,gut,edit_me
12,mit-m,mit demselben guten Freund ,mit,demselben,guten,Freund,derselbe,gut,edit_me
13,mit-m,mit jedem guten Freund,mit,jedem,guten,Freund,jede,gut,edit_me
14,mit-f,mit der guten Frau,mit,der,guten,Frau,der,gut,edit_me
15,mit-f,mit einer guten Frau,mit,einer,guten,Frau,ein,gut,edit_me
16,mit-f,mit keiner guten Frau,mit,keiner,guten,Frau,kein,gut,edit_me
17,mit-f,mit meiner guten Frau,mit,meiner,guten,Frau,mein,gut,edit_me
18,mit-f,mit deiner guten Frau,mit,deiner,guten,Frau,dein,gut,edit_me
19,mit-f,mit seiner guten Frau,mit,seiner,guten,Frau,sein,gut,edit_me
20,mit-f,mit ihrer guten Frau,mit,ihrer,guten,Frau,ihr,gut,edit_me
21,mit-f,mit unserer guten Frau,mit,unserer,guten,Frau,unser,gut,edit_me
22,mit-f,mit eurer guten Frau,mit,eurer,guten,Frau,euer,gut,edit_me
23,mit-f,mit ihrer guten Frau,mit,ihrer,guten,Frau,ihr,gut,edit_me
24,mit-f,mit dieser guten Frau,mit,dieser,guten,Frau,dies,gut,edit_me
25,mit-f,mit derselben guten Frau,mit,derselben,guten,Frau,derselbe,gut,edit_me
26,mit-f,mit jeder guten Frau,mit,jeder,guten,Frau,jede,gut,edit_me
27,mit-n,mit dem guten Kind,mit,dem,guten,Kind,der,gut,edit_me
28,mit-n,mit einem guten Kind,mit,einem,guten,Kind,ein,gut,edit_me
29,mit-n,mit keinem guten Kind,mit,keinem,guten,Kind,kein,gut,edit_me
30,mit-n,mit meinem guten Kind ,mit,meinem,guten,Kind,mein,gut,edit_me
31,mit-n,mit deinem guten Kind ,mit,deinem,guten,Kind,dein,gut,edit_me
32,mit-n,mit seinem guten Kind ,mit,seinem,guten,Kind,sein,gut,edit_me
33,mit-n,mit ihrem guten Kind,mit,ihrem,guten,Kind,ihr,gut,edit_me
34,mit-n,mit unserem guten Kind,mit,unserem,guten,Kind,unser,gut,edit_me
35,mit-n,mit eurem guten Kind ,mit,eurem,guten,Kind,euer,gut,edit_me
36,mit-n,mit ihrem guten Kind,mit,ihrem,guten,Kind,ihr,gut,edit_me
37,mit-n,mit diesem guten Kind,mit,diesem,guten,Kind,dies,gut,edit_me
38,mit-n,mit demselben guten Kind ,mit,demselben,guten,Kind,derselbe,gut,edit_me
39,mit-n,mit jedem guten Kind,mit,jedem,guten,Kind,jede,gut,edit_me
40,mit-pl,mit den guten Männern,mit,den,guten,Männern,der,gut,edit_me
41,mit-pl,mit den guten Frauen,mit,den,guten,Frauen,der,gut,edit_me
42,mit-pl,mit den guten Kindern,mit,den,guten,Kindern,der,gut,edit_me
43,mit-pl,mit keinen guten Männern,mit,keinen,guten,Männern,kein,gut,edit_me
44,mit-pl,mit keinen guten Frauen,mit,keinen,guten,Frauen,kein,gut,edit_me
45,mit-pl,mit keinen guten Kindern,mit,keinen,guten,Kindern,kein,gut,edit_me
46,mit-pl,mit meinen guten Männern,mit,meinen,guten,Männern,mein,gut,edit_me
47,mit-pl,mit meinen guten Frauen,mit,meinen,guten,Frauen,mein,gut,edit_me
48,mit-pl,mit meinen guten Kindern,mit,meinen,guten,Kindern,mein,gut,edit_me
49,mit-pl,mit deinen guten Männern,mit,deinen,guten,Männern,dein,gut,edit_me
50,mit-pl,mit deinen guten Frauen,mit,deinen,guten,Frauen,dein,gut,edit_me
51,mit-pl,mit deinen guten Kindern,mit,deinen,guten,Kindern,dein,gut,edit_me
52,mit-pl,mit seinen guten Männern,mit,seinen,guten,Männern,sein,gut,edit_me
53,mit-pl,mit seinen guten Frauen,mit,seinen,guten,Frauen,sein,gut,edit_me
54,mit-pl,mit seinen guten Kindern,mit,seinen,guten,Kindern,sein,gut,edit_me
55,mit-pl,mit ihren guten Männern,mit,ihren,guten,Männern,ihr,gut,edit_me
56,mit-pl,mit ihren guten Frauen,mit,ihren,guten,Frauen,ihr,gut,edit_me
