id,tense,answer,el1,el2,el3,el4,el5,el6,translation
1,Präsens-VP ,Ich werde untersucht,Ich,werde,untersucht,,,,I am being examined
2,Präsens-VP ,Du wirst untersucht,Du,wirst,untersucht,,,,You are being examined
3,Präsens-VP ,Er wird untersucht,Er,wird,untersucht,,,,He is being examined
4,Präsens-VP ,Sie wird untersucht,Sie,wird,untersucht,,,,She is being examined
5,Präsens-VP ,Es wird untersucht,Es,wird,untersucht,,,,It is under investigation
6,Präsens-VP ,Wir werden untersucht,Wir,werden,untersucht,,,,We're being investigated
7,Präsens-VP ,Ihr werdet untersucht,Ihr,werdet,untersucht,,,,You are being examined
8,Präsens-VP ,Sie werden untersucht,Sie,werden,untersucht,,,,You will be examined
9,Präsens-VP ,Sie werden untersucht,Sie,werden,untersucht,,,,You will be examined
10,Präteritum-VP,Ich wurde gehört,Ich,wurde,gehört,,,,I was heard
11,Präteritum-VP,Du wurdest gehört,Du,wurdest,gehört,,,,you were heard
12,Präteritum-VP,Er wurde gehört,Er,wurde,gehört,,,,He was heard
13,Präteritum-VP,Sie wurde gehört,Sie,wurde,gehört,,,,She was heard
14,Präteritum-VP,Es wurde gehört,Es,wurde,gehört,,,,It has been heard
15,Präteritum-VP,Wir wurden gehört,Wir,wurden,gehört,,,,We were heard
16,Präteritum-VP,Ihr wurdet gehört,Ihr,wurdet,gehört,,,,you have been heard
17,Präteritum-VP,Sie wurden gehört,Sie,wurden,gehört,,,,You have been heard
18,Präteritum-VP,Sie wurden gehört ,Sie,wurden,gehört,,,,You have been heard
19,Perfekt-VP,Ich bin untersucht worden,Ich,bin,untersucht,worden,,,I have been examined
20,Perfekt-VP,Du bist untersucht worden,Du,bist,untersucht,worden,,,You have been examined
21,Perfekt-VP,Er ist untersucht worden,Er,ist,untersucht,worden,,,He has been examined
22,Perfekt-VP,Sie ist untersucht worden ,Sie,ist,untersucht,worden,,,She has been examined
23,Perfekt-VP,Es ist untersucht worden,Es,ist,untersucht,worden,,,It has been examined
24,Perfekt-VP,Wir sind untersucht worden,Wir,sind,untersucht,worden,,,We have been examined
25,Perfekt-VP,Ihr seid untersucht worden,Ihr,seid,untersucht,worden,,,You have been examined
26,Perfekt-VP,Sie sind untersucht worden,Sie,sind,untersucht,worden,,,You have been examined
27,Perfekt-VP,Sie sind untersucht worden ,Sie,sind,untersucht,worden,,,You have been examined
28,Perfekt-VP,Ich werde untersucht werden,Ich,werde,untersucht,werden,,,I will be examined
29,Futur -VP,Du wirst untersucht werden,Du,wirst,untersucht,werden,,,You will be examined
30,Futur -VP,Er wird untersucht werden,Er,wird,untersucht,werden,,,He will be examined
31,Futur -VP,Sie wird untersucht werden,Sie,wird,untersucht,werden,,,She will be examined
32,Futur -VP,Es wird untersucht werden,Es,wird,untersucht,werden,,,It will be investigated
33,Futur -VP,Wir werden untersucht werden,Wir,werden,untersucht,werden,,,How will be investigated
34,Futur -VP,Ihr werdet untersucht werden,Ihr,werdet,untersucht,werden,,,You will be examined
35,Futur -VP,Sie werden untersucht werden,Sie,werden,untersucht,werden,,,You will be examined
36,Futur -VP,Sie werden untersucht werden,Sie,werden,untersucht,werden,,,You will be examined
37,Präsens-Passive-müssen,Ich muss geküsst werden ,Ich,muss,geküsst,werden,,,I need to be kissed
38,Präsens-Passive-müssen,Du musst geküsst werden,Du,musst,geküsst,werden,,,you need to be kissed
39,Präsens-Passive-müssen,Er muss geküsst werden,Er,muss,geküsst,werden,,,He needs to be kissed
40,Präsens-Passive-müssen,Sie muss geküsst werden,Sie,muss,geküsst,werden,,,She needs to be kissed
41,Präsens-Passive-müssen,Es muss geküsst werden,Es,muss,geküsst,werden,,,It must be kissed
42,Präsens-Passive-müssen,Wir müssen geküsst werden,Wir,müssen,geküsst,werden,,,We need to be kissed
43,Präsens-Passive-müssen,Ihr müsst geküsst werden,Ihr,müsst,geküsst,werden,,,you need to be kissed
44,Präsens-Passive-müssen,Sie müssen geküsst werden,Sie,müssen,geküsst,werden,,,They need to be kissed
45,Präsens-Passive-müssen,Sie müssen geküsst werden,Sie,müssen,geküsst,werden,,,They need to be kissed
46,Präsens-Passive-müssen,Ich kann geküsst werden ,Ich,kann,geküsst,werden,,,I can be kissed
47,Präsens-Passive-müssen,Du kannst geküsst werden,Du,kannst,geküsst,werden,,,you can be kissed
48,Präsens-Passive-müssen,Er kann geküsst werden,Er,kann,geküsst,werden,,,He can be kissed
